Id,Name,TracHier__Domain__c,GPT Parent,GPT Global
0014100001anPpTAAU," Tiendas Aurrera, S. de R.L. de C.V.",,,
0012M00002927HfQAI,"Hobart Sales and Service, Inc.",hobartservice.com,,
0012M00002927KAQAY,"Avery Weigh-Tronix, LLC",averyweigh-tronix.com,,
0012A00002DLIRZQA5,Desjardins,desjardins.com,,
0012M0000292iEjQAI,Paramount,paramount.com,,
0012M0000292iEkQAI,Paramount Global,paramount.com,,
001F000000vtZOKIA2,Bell Canada,bell.ca,,
0012M0000292iElQAI,Paramount,paramount.com,,
0012M0000292tTtQAI,Advocate Aurora Health Inc.,advocatehealth.com,,
0012M0000292tUNQAY,"Aurora Health Care, Inc.",aurorahealthcare.org,,
0012M000029uEo5QAE,Wpp Group US Finance LLC,wpp.com,,
0012M000029uEo6QAE,"Wpp Clapton Square, LLC",wpp.com,,
0012M000029uEo8QAE,Warren Distribution LLC,highlinewarren.com,,
001F000000khXxmIAE,Principal Life Insurance Company,principal.com,,
0012M000029uFz1QAE,Lamar Advertising Company,lamar.com,,
0014100001vonMFAAY," Uunet Technologies, Inc",,,
0014100001vonMMAAY," Uunet Technologies, Inc",,,
0014100001vonN7AAI, Verizon Business Global LLC,,,
0012M000029v1RuQAI,Hub International Insurance Services Inc.,diveinsurance.com,,
0012M000029v1S4QAI,Hub International HKMB Limited,hkmb.com,,
0012M000029vJCFQA2,Hellman & Friedman LLC,hf.com,,
0012M000029vJCZQA2,Hub International Insurance Services Inc.,nationwide.com,,
0012M000029vJCoQAM,Hub International Limited,hubinternational.com,,
0012M000029vJDSQA2,Hub International Insurance Services Inc.,johnsonwood.com,,
0012M000029vJE1QAM,Hub International Limited,hubinternational.com,,
0012M000029vKy6QAE,"Arrow Electronics, Inc.",arrow.com,,
0012M000029wLA0QAM,Western Digital Corporation,westerndigital.com,,
0012M00002BE87sQAD,"Nine Points, Inc",holidayinn.com,,
0012M00002BE89tQAD,Exxon Mobil Corporation,corporate.exxonmobil.com,,
0014100001vonNDAAY, Verizon Business Global LLC,,,
0012M00002Bzxh9QAB,"Imerys Usa, Inc.",imerys.com,,
0012M00002BzxhAQAR,"Imerys Perlite Usa, Inc.",imerys-performance-minerals.com,,
0012M00002BzxhBQAR,"Imerys Usa, Inc.",imerys.com,,
0012M00002BzxhnQAB,Lasalle Bank-ABN Amro,abnamro.com,,
0012M00002BzxhoQAB,ABN Amro Clearing Chicago LLC,us.abnamroclearing.com,,
0012M00002BzxiHQAR,Accenture Inc. - North America,accenture.com,,
0012M00002BzxiIQAR,Duck Creek Technologies LLC,duckcreek.com,,
0012M00002BzxiJQAR,Accenture LLP,accenture.com,,
0014100001vonOFAAY, Verizon Business Global LLC,,,
001F000000grrAJIAY,lululemon athletica canada inc.,lululemon.com,,
0012M00002Bzxj1QAB,"Credit Suisse (usa), Inc.",credit-suisse.com,,
0012M00002Bzxj2QAB,"Credit Suisse (usa), Inc.",credit-suisse.com,,
0012M00002BzxjoQAB,Akzo Nobel Inc.,akzonobel.com,,
0012M00002BzxjpQAB,Nouryon Surface Chemistry LLC,nouryon.com,,
0012M00002BzxjqQAB,Nouryon Functional Chemicals LLC,nouryon.com,,
0012M00002BzxotQAB,AKZO NOBEL ICI HOLDINGS,akzonobel.com,,
0012M00002C0Mb8QAF,Msc.software Corporation,hexagon.com,,
001F000001MXp5eIAD,Grupo Salinas,gruposalinas.com,,
0012M00002C0ftrQAB,Jim Pattison Ltd.,northvancouver.jpvolvo.ca,,
0012M00002C1ZP4QAN,Apple Inc.,apple.com,,
0012M00002C1zc3QAB,"Walt Disney Parks and Resorts U.S., Inc.",disneyconnect.com,,
0012M00002Cfl9bQAB,"Toronto-Dominion Bank, The",td.com,,
0012M00002CfldmQAB,Geico Idemnity Co Inc,geico.com,,
0012M00002Cflr0QAB,Springcm Inc.,springcm.com,,
0012M00002CflrtQAB,"Docusign International, Inc.",docusign.com,,
0012M00002CflshQAB,"Cartavi, LLC",docusign.com,,
0014100001vonP9AAI, Verizon Business Global LLC,,,
0012M00002CfwUuQAJ,"Gopro Care Services, Inc.",gopro.com,,
0012M00002CfwV4QAJ,"Gopro, Inc.",gopro.com,,
0011Y00002s1mf8QAA,Dominion Energy,dominionenergy.com,,
0012M00002CfwgWQAR,Gopro,,,
0012M00002Cfx75QAB,Zoominfo,,,
0012M00002Cfx7OQAR,Isaac Fair Corporation,fico.com,,
0012M00002Cfx7nQAB,"Wynn Las Vegas, LLC",wynnlasvegas.com,,
0012M00002Cfx7sQAB,"Wynn Resorts Finance, LLC",wynnlasvegas.com,,
0012M00002Cfx7xQAB,"Wynn Las Vegas, LLC",wynnlasvegas.com,,
0014100001vonPpAAI, Verizon Business Global LLC,vzw.com,,
0012M00002CfxGcQAJ,"Wynn Group Asia, Inc.",wynnresorts.com,,
0012M00002CfxJbQAJ,"Wynn Las Vegas, LLC",wynnlasvegas.com,,
0012M00002CgOANQA3,Amazon,,,
0014100001vonQpAAI, Verizon Business Global LLC,vzw.com,,
0012M00002ClHMqQAN,Aecon Group Inc.,aecon.com,,
0012M00002ClHMrQAN,Aecon-Wachs Industrial Services Inc.,aecon.com,,
0012M00002ClggsQAB,Totally One Communications Inc,bell.ca,,
0012M00002Clgi5QAB,Entreprises Bell Canada Inc.,bell.ca,,
001F000000gUc7FIAS,Office of the Commissioner of Baseball,mlb.com,,
0012M00002DT0NmQAL,"Samsung Research America, Inc.",sra.samsung.com,,
0012M00002DT0RtQAL,Samsung Electronics Canada Inc,samsung.com,,
001F000000khW2IIAU,Halliburton Company,halliburton.com,,
0012M00002DT9eyQAD,John Hancock Insurance Company,manulife.com,,
0012M00002DT9fSQAT,Manulife Canada Ltd,manulife.com,,
0012M00002DT9gGQAT,Manulife Securities Incorporated,manulife.ca,,
0012M00002DT9hdQAD,Manulife Securities Incorporated,manulife.com,,
0012M00002DT9iWQAT,"MANULIFE DATA SERVICES, INC.",mdsitools.com,,
0012M00002DT9igQAD,Manulife Data Services Inc,mdsitools.com,,
0012M00002DT9ilQAD,Manulife Data Services Inc,mdsitools.com,,
0012M00002DT9joQAD,SCDA (2015) Inc,manulife.ca,,
0012M00002DT9kwQAD,Manulife Bank of Canada,manulifebank.ca,,
0012M00002DT9l1QAD,Manulife Bank of Canada,manulifebank.ca,,
0012M00002DT9l6QAD,Manulife Bank of Canada,manulifebank.ca,,
0012M00002DT9lGQAT,Manulife Bank of Canada,manulifebank.ca,,
001F000000khWcwIAE,Parsons Services Company,parsons.com,,
0012M00002DT9uIQAT,Manulife Financial Corporation,manulife.com,,
0012M00002DT9uJQAT,The Manufacturers Life Insurance Company,manulife.ca,,
0012M00002DTBBuQAP,Raytheon/Lockheed Martin Javelin Joint Venture,rtx.com,,
0012M00002DTBBvQAP,Raytheon Bbn Technologies Corp.,rtx.com,,
0012M00002DTBBwQAP,Raytheon Company,rtx.com,,
0012M00002DTBDWQA5,BASF Corporation,basf.com,,
0012M00002DTBDXQA5,BASF Corporation,basf.com,,
0014100001vonRNAAY, Verizon Business Global LLC,,,
0012M00002DTBDgQAP,BASF SE,basf.com,,
0014100001vonSPAAY, Verizon Communications Inc.,,,
0012M00002DTEGxQAP,RBC Dominion Securities Inc,rbc.com,,
0012M00002DTEH1QAP,Guernroy Limited,rbc.com,,
0012M00002DTEH6QAP,RBC DOMINION SECURITIES INC.,rbc.com,,
0012M00002DTEHGQA5,RBC Dominion Securities Inc,rbcwealthmanagement.com,,
0012M00002DTEHaQAP,Rbc Insurance Holdings Inc.,rbc.com,,
0012A00002DLxT4QAL,CW Retail Services Pty Ltd,chemistwarehouse.com.au,,
0012M00002DTEHfQAP,Assured Assistance Inc,rbc.com,,
0012M00002DTEITQA5,RBC General Insurance Company,rbc.com,,
0012M00002DTEIdQAP,RBC Capital Markets Real Estate Group Inc,rbc.com,,
0012M00002DTEInQAP,RBC Capital Markets Real Estate Group Inc,rbc.ca,,
0014100001vonSSAAY, Verizon Communications Inc.,,,
0012M00002DTEJHQA5,Dean Rauscher Capital Market,rbc.com,,
0014100001vombCAAQ, Verizon North Inc,,,
0012M00002DTEJbQAP,RBC Capital Markets Real Estate Group Inc,rbc.ca,,
0012M00002DTEJgQAP,Rbc Dominion Securities Inc.,rbcwealthmanagement.com,,
001F000000p8RoGIAU,Beeline.com,beeline.com,,
0012M00002DTEJlQAP,Societe d'Hypotheque de la Banque Royale,rbc.com,,
0014100001anPzKAAU," Wal-Mart Puerto Rico, Inc",,,
0012M00002DTEK5QAP,"RBC Phillips, Hager & North Investment Counsel Inc",rbcphnic.com,,
0012M00002DTEKUQA5,RBC Asset Management Inc,rbc.com,,
001F000000yFrzxIAC,Direct Line Insurance Group plc,directlinegroup.co.uk,,
0012M00002DTELwQAP,Crédit-Bail Rcap Inc,rcapleasing.com,,
0012M00002DTEM1QAP,"Compagnie Trust Royal, La",rbc.ca,,
0012M00002DTEObQAP,Rbc Dominion Securities Inc.,rbcwealthmanagement.com,,
0012M00002DTERzQAP,"Manulife Information and Technologies Services (Chengdu) Co., Ltd.",mdsitools.com,,
0012M00002DTES9QAP,Manulife Canada Ltd,manulife.ca,,
0012M00002DTESTQA5,Manulife Canada Ltd,manulife.ca,,
0012M00002DU8nRQAT,CHEMETALL (AUSTRALASIA) PTY LTD,chemetall.com.au,,
0012M00002DU8nqQAD,"Chemetall U.S., Inc.",chemetallna.com,,
0012M00002DU8nvQAD,Cognis B.V.,basf.com,,
0012M00002DU8oFQAT,Rockwood Specialties Group GmbH,basf.com,,
0012M00002DU8q1QAD,"Engelhard Asia-Pacific, LLC",basf.com,,
0012M00002DU8q2QAD,CHEMETALL SURFACE TREATMENT HOLDING COMPANY LIMITED,chemetall.com,,
0014100001anPzXAAU," Wal-Mart Stores East, LP",,,
0012M00002DWa98QAD,A^3 By Airbus LLC,acubed.airbus.com,,
0014100001anOo1AAE," Wal-Mart Stores, Inc.",,,
0012M00002EklTFQAZ,"Guardian Industries, LLC",guardian.com,,
0012A000026IHZ0QAO,Sage Global Services Limited,sage.com,,
0012M00002EmnpwQAB,"Canon U.S.A., Inc.",usa.canon.com,,
0012M00002Empl3QAB,CBS News Communications Inc.,paramount.com,,
0012M00002Empl9QAB,"Simon & Schuster, Inc.",simonandschuster.com,,
0012M00002EmplDQAR,JUPITER SPRING PRODUCTIONS LIMITED,paramount.com,,
0012M00002EmplNQAR,"Amadea Film Productions, Inc",cbs.com,,
0014100001anOoHAAU," Wal-Mart Stores, Inc.",,,
0012M00002EmukDQAR,"Schneider Electric Systems Usa, Inc.",flowfoxboro.com,,
0014100001anOoLAAU," Wal-Mart Stores, Inc.",,,
001F000001UXO3IIAX,SK Inc(C&C),sk.com,,
0014100001anOoMAAU," Wal-Mart Stores, Inc.",,,
0012M00002Emup0QAB,"AAA Galvanizing - Joliet, Inc.",azz.com,,
0012M00002EmupAQAR,"A & B Properties, Inc",alexanderbaldwin.com,,
0012M00002EmupKQAR,"Aaron's, LLC",aarons.com,,
0012M00002EmupPQAR,Abbott Laboratories,abbott.com,,
0012M00002EmupZQAR,Abercrombie & Fitch Co.,abercrombie.com,,
0014100001anOouAAE," Wal-Mart Stores, Inc.",,,
0012M00002EmuqNQAR,"Airgas Usa, LLC",airgas.com,,
0012M00002EmuqSQAR,"Alcon Vision, LLC",alcon.com,,
0012M00002EmuqcQAB,"Allied Waste Systems, Inc.",republicservices.com,,
001F000001aQGJBIA4,"Primerica Financial Services, LLC",primerica.com,,
0012M00002EmuqhQAB,"Amcor Rigid Packaging Usa, LLC",amcor.com,,
0012M00002EmuqrQAB,American Fidelity Property Company,foundation.americanfidelity.com,,
0014100001anOpCAAU," Wal-Mart Stores, Inc.",,,
0012M00002EmurBQAR,"Anheuser-Busch International, Inc.",anheuser-busch.com,,
0012M00002EmurGQAR,Urbn US Retail LLC,anthropologie.com,,
001F000000gUc7jIAC,Purolator Inc,purolator.com,,
0012M00002EmurLQAR,AP Vef Lc-Dallas Operator Inc.,hilton.com,,
001F000000ogLcTIAU,Sonesta International Hotels,sonesta.com,,
0012M00002EmurvQAB,"Anheuser-Busch Companies, LLC",anheuser-busch.com,,
0012M00002Emv0FQAR,"Anheuser-Busch, LLC",anheuser-busch.com,,
0014100001anOpLAAU," Wal-Mart Stores, Inc.",,,
0012M00002Emv0PQAR,"Anheuser-Busch, Incorporated",anheuser-busch.com,,
0012M00002Emv0UQAR,"Busch Agricultural Resources, LLC",buschagbarley.com,,
0014100001anOpVAAU," Wal-Mart Stores, Inc.",,,
0012M00002Emv0oQAB,Clean Power Merrimack LLC,anheuser-busch.com,,
0012M00002Emv0tQAB,Anheuser-Busch InBev,ab-inbev.com,,
0012M00002EnFjWQAV,JAVELIN (UK) LIMITED,rtx.com,,
0012M00002EnFjbQAF,Raytheon Deutschland GmbH,rtx.com,,
0014100001anOpZAAU," Wal-Mart Stores, Inc.",,,
001F000000v6CPcIAM,"Benevity, Inc.",benevity.com,,
0014100001anOpmAAE," Wal-Mart Stores, Inc.",,,
0012M00002EnXlyQAF,JOHNSON & JOHNSON CONSUMER HOLDINGS FRANCE,jnj.com,,
0012M00002EnXmYQAV,"Centocor Biologics, LLC",patheon.com,,
0012M00002EnXmrQAF,JANSSEN-CILAG GmbH,janssen.com,,
0012M00002EnXmwQAF,Corimmun GmbH,janssen.com,,
0012M00002EnXn1QAF,Johnson & Johnson Holding GmbH,jnj.de,,
0014100001anOptAAE," Wal-Mart Stores, Inc.",,,
0012M00002EnXnGQAV,Alza Corporation,alza.com,,
0012M00002EnXnQQAV,"Cordis de México, S.A. de C.V.",cordis.com,,
0012M00002EnXnfQAF,Biosense Webster Inc,jnj.com,,
0012M00002EnXnkQAF,"Depuy Products, Inc.",jnjmedtech.com,,
001F000000khabCIAQ,AIR MILES Loyalty Inc,loyalty.com,,
0012M00002EnXnpQAF,"Synthes Spine, Inc.",jnjmedicaldevices.com,,
0012M00002EnXnzQAF,"Synthes Spine, Inc.",jnjmedicaldevices.com,,
0012M00002EnXo4QAF,"Synthes Usa, LLC",jnjmedicaldevices.com,,
0012M00002EnXo9QAF,"Synthes Usa, LLC",jnjmedicaldevices.com,,
0012M00002EnXoEQAV,"Synthes Usa, LLC",jnjmedicaldevices.com,,
0012M00002EnXoJQAV,Ethicon Inc.,jnjmedicaldevices.com,,
0012M00002EnXoOQAV,"Acclarent, Inc.",acclarent.com,,
0012M00002EnXoTQAV,"Acclarent, Inc.",acclarent.com,,
0012M00002EnXodQAF,Johnson & Johnson Medical Inc.,jnjinstitute.com,,
0012M00002EnXonQAF,Johnson & Johnson Wound Management Inc,jnjinstitute.com,,
0012M00002EnXosQAF,JOHNSON & JOHNSON K.K.,jnj.co.jp,,
0012M00002EnXoxQAF,"Janssen Biotech, Inc.",janssen.com,,
0012M00002EnXp2QAF,"Benevir Biopharm, Inc.",janssen.com,,
0012M00002EnXp7QAF,Johnson & Johnson,jnj.com,,
0012M00002EnXpCQAV,Johnson & Johnson,jnj.com,,
0012M00002EnXpMQAV,JOHNSON & JOHNSON VISION CARE IRELAND UNLIMITED COMPANY,jjvision.com,,
0012M00002EnXpRQAV,Johnson & Johnson Luxembourg Finance Company,,,
0012M00002EnXqeQAF,Janssen Ortho LLC,its.jnj.com,,
0012M00002EnXqjQAF,Ortho Biologics LLC,jnj.com,,
0012M00002EnXqoQAF,"Ortho Biotech Products, L.P.",jnj.com,,
0012M00002EnXqtQAF,"Janssen Farmacéutica, S.A. de C.V.",jnjmexico.com,,
0014100001anOpxAAE," Wal-Mart Stores, Inc.",,,
0012M00002EnXr3QAF,"Johnson & Johnson Vision Care, Inc.",jjvision.com,,
0012M00002EnXrIQAV,"Johnson & Johnson Services, Inc.",jnj.com,,
0014100001anOq5AAE," Wal-Mart Stores, Inc.",,,
0012M00002EnXrSQAV,Johnson & Johnson Nordic AB,jnj.com,,
0012M00002EnXrcQAF,Johnson & Johnson AB,jnj.com,,
0012M00002EnXsBQAV,JOHNSON & JOHNSON SANTE BEAUTE FRANCE,jjsbf.fr,,
0012M00002EnXsQQAV,JOHNSON & JOHNSON MEDICAL SAS,janssen.com,,
0012M00002EnZxdQAF,FT NORTH AMERICA LIMITED,honeywell.com,,
0012M00002Enz5vQAB,"Zhibaishuo Beverage Technology (Xiamen) Co., Ltd.",coca-cola.com,,
0014100001anOqAAAU," Wal-Mart Stores, Inc.",,,
0012M00002Enz73QAB,SERVICIOS Y PRODUCTOS PARA BEBIDAS REFRESCANTES S.R.L.,cocacoladeargentina.com.ar,,
0012M00002Enz7cQAB,Ccda Waters LLC,coca-colacompany.com,,
0012M00002Enz8QQAR,INNOCENT ITALIA SRL,innocentdrinks.co.uk,,
0014100001anOqGAAU," Wal-Mart Stores, Inc.",,,
0012M00002Eo6abQAB,"Werner Enterprises, Inc",werner.com,,
0012M00002EoD77QAF,The Akron Coca-Cola Bottling Company,us.coca-cola.com,,
0012M00002EoD7SQAV,"Minute Maid Company Canada Inc, The",minutemaid.com,,
0011Y00002q3qPCQAY,chegg,chegg.com,,
0014100001anOqOAAU," Wal-Mart Stores, Inc.",,,
0012M00002EoPjkQAF,Stanford Health Care,stanfordhealthcare.org,,
0014100001anOrLAAU," Wal-Mart Stores, Inc.",,,
0012M00002EoPm4QAF,University Healthcare Alliance,stanfordmedicinepartners.org,,
0014100001anOsdAAE," Wal-Mart Stores, Inc.",,,
0012M00002G6FOEQA3,CANADA DRY CORPORATION LIMITED,canadadry.ca,,
0012M00002G6Fj9QAF,"Central Coca-Cola Bottling Company, Inc.",us.coca-cola.com,,
0012M00002G6LBsQAN,"Calvin Klein, Inc.",calvinklein.us,,
0012M00002G6LCbQAN,Warnaco Inc.,warners.com,,
0012M00002G6LCcQAN,Gh Bass Sport Inc.,ghbass.com,,
0012M00002G6LESQA3,Pvh Corp.,pvh.com,,
0012M00002G6LEwQAN,"Izod.com, Inc",izod.com,,
001F000000v5YMwIAM,Arkansas BCBS,arkbluecross.com,,
0012M00002G6LFkQAN,Phillips-Van Heusen Europe Corp,pvh.com,,
0012M00002G6Lr9QAF,AC Hotels By Marriott,marriott.com,,
0012M00002G6Ly5QAF,"Westin Sheraton Vacation Services, Inc.",westin.marriott.com,,
0012M00002G6M7RQAV,Courtyard Management Corporation,marriott.com,,
0012M00002G6MChQAN,"Coventry Health Care of Virginia, Inc.",aetna.com,,
0012M00002G6MNEQA3,Courtyard Management Corporation,marriott.com,,
0012M00002G6Me0QAF,CVS Health Corporation,cvshealth.com,,
0012M00002G6MeAQAV,"Aetna Financial Holdings, LLC",aetna.com,,
0012M00002G6MeBQAV,"Coventry Health Care, Inc.",coventryhealthcare.com,,
0012M00002G6MeyQAF,First Health Group Corp.,providerlocator.firsthealth.com,,
0012M00002G6MfDQAV,"Caremark Rx, Inc.",caremark.com,,
0014100001anOt0AAE," Wal-Mart Stores, Inc.",,,
0012M00002G6MfOQAV,"Activehealth Management, Inc.",activehealth.com,,
0012M00002G6MfrQAF,"Coram Healthcare of Wyoming, L.L.C.",coramhc.com,,
0012M00002G6MgkQAF,"Aetna Financial Holdings, LLC",aetna.com,,
